"","age","female","hisp","education","earnings","hours","week","union","uncov","region","race","marital"
"173",53,0,0,12,23000,60,48,0,0,1,1,5
"174",23,1,0,13,20134,40,52,0,0,1,1,6
"175",44,0,0,16,56000,45,52,0,0,1,1,1
"176",29,0,0,16,25000,40,52,0,0,1,1,1
"177",25,1,0,13,15000,40,52,0,0,1,1,1
"178",55,0,0,18,60000,50,52,0,0,1,1,1
"179",52,1,0,18,22500,50,52,0,0,1,1,1
"180",36,1,0,16,104000,42,52,0,0,1,1,5
"181",32,0,0,13,25000,40,52,0,0,1,1,5
"182",39,0,0,12,50000,40,52,0,0,1,1,1
"183",37,1,0,12,20000,40,52,0,0,1,1,1
"184",35,1,0,13,24000,40,52,0,0,1,1,1
"185",38,0,0,16,85000,40,52,0,0,1,1,1
"186",34,0,0,12,70000,60,52,0,0,1,1,7
"187",39,1,0,12,24002,40,52,0,0,1,1,5
"188",45,0,0,16,95000,60,52,0,0,1,1,1
"189",51,0,0,18,156697,65,52,0,0,1,1,1
"190",48,1,0,12,51600,44,52,0,0,1,1,1
"191",44,1,0,14,38000,40,52,0,0,1,1,5
"192",26,1,0,12,27000,36,52,0,0,1,1,1
"193",26,0,0,12,34000,50,52,0,0,1,1,1
"194",48,0,0,11,41000,40,52,0,0,1,1,5
"195",48,0,0,12,19000,40,52,0,0,1,1,1
"196",39,1,0,12,17000,40,52,0,0,1,1,5
"197",28,0,0,12,19539,40,52,0,0,1,1,7
"198",32,1,0,18,61500,75,52,0,0,1,1,1
"199",27,0,0,14,53000,58,52,0,0,1,1,1
"200",49,1,0,16,50000,50,52,0,0,1,1,1
"201",33,0,0,16,62000,40,52,0,0,1,1,1
"202",61,1,0,14,21403,55,52,1,0,1,1,5
"203",31,1,0,13,60000,48,52,0,0,1,1,1
"204",56,1,0,12,26000,40,52,0,0,1,1,1
"205",37,0,0,14,26000,40,52,0,0,1,1,7
"206",34,0,0,12,75000,45,52,0,0,1,1,5
"207",47,1,0,13,28000,40,52,0,0,1,1,5
"208",40,1,0,14,6000,40,52,0,0,1,1,5
"209",40,0,0,16,32000,45,52,0,0,1,1,1
"210",46,1,0,18,52000,45,52,0,0,1,1,1
"211",40,1,0,16,95000,40,52,0,0,1,1,1
"212",35,0,0,12,50000,40,52,0,0,1,1,1
"213",38,1,0,14,32000,40,52,0,0,1,1,1
"214",38,0,0,13,48000,40,52,0,0,1,1,1
"215",41,1,0,16,42000,50,52,0,0,1,1,1
"216",45,1,0,14,25000,40,52,0,0,1,1,7
"217",45,1,1,11,30000,40,52,0,0,1,1,1
"218",44,1,0,12,39000,40,52,0,0,1,1,5
"219",40,0,0,16,60000,40,52,0,0,1,1,1
"220",39,1,0,16,12000,40,52,0,0,1,1,5
"221",21,0,0,12,35000,57,52,0,0,1,1,7
"222",56,0,0,18,40000,40,52,0,0,1,1,1
"223",55,0,0,18,42000,40,51,0,0,1,1,3
"224",29,0,0,13,32000,40,52,0,0,1,1,7
"225",48,0,0,12,60000,55,52,0,0,1,1,1
"226",43,1,0,16,26000,52,52,0,0,1,1,1
"227",38,0,0,12,60000,50,52,0,0,1,1,1
"228",45,0,0,12,33500,40,52,0,0,1,1,1
"229",49,1,0,12,22000,40,52,0,0,1,1,1
"230",29,0,0,11,22000,50,52,0,0,1,1,7
"231",54,0,0,12,27457,40,52,0,0,1,1,1
"232",37,1,0,12,20311,40,52,0,0,1,1,1
"233",67,1,0,13,30000,40,52,0,0,1,1,7
"234",40,0,0,12,20000,57,52,0,0,1,1,7
"235",29,0,0,13,28000,40,52,0,0,1,1,1
"236",59,0,0,12,28000,40,52,0,0,1,1,1
"237",43,1,0,14,35000,40,52,0,0,1,1,1
"238",48,0,0,12,48000,40,52,0,0,1,1,5
"239",37,0,0,13,30000,42,52,0,0,1,1,1
"240",32,1,0,12,15000,40,52,0,0,1,1,1
"241",60,0,0,12,40000,40,52,0,0,1,1,1
"242",59,1,0,12,40000,40,52,0,0,1,1,1
"243",42,0,0,18,72000,45,52,0,0,1,1,1
"244",42,1,0,13,45000,40,52,0,0,1,1,1
"245",36,1,0,13,62000,40,52,0,0,1,1,7
"246",52,0,0,14,76000,40,52,0,0,1,1,1
"247",52,1,0,12,28000,40,48,0,0,1,1,5
"248",51,0,0,12,65000,70,52,0,0,1,1,1
"249",19,0,0,16,22000,40,50,0,0,1,1,7
"250",26,1,0,13,26000,40,52,0,0,1,1,7
"251",43,0,0,16,70000,45,52,0,0,1,1,1
"252",41,1,0,12,34000,40,52,0,0,1,1,1
"253",43,1,0,16,68000,40,52,0,0,1,1,1
"254",25,1,0,13,13000,40,48,0,0,1,1,7
"255",37,1,0,14,68640,45,52,0,0,1,1,1
"256",36,0,0,12,37000,45,52,0,0,1,1,1
"257",40,1,0,16,55000,45,52,0,0,1,1,5
"258",38,1,0,13,24900,40,52,1,0,1,1,7
"259",36,0,0,12,30000,40,52,0,0,1,1,1
"260",38,1,0,12,26002,40,52,0,0,1,1,1
"261",54,0,0,16,52000,40,52,0,0,1,1,1
"262",51,1,0,16,70000,40,52,0,0,1,1,1
"263",25,0,0,16,25000,60,52,0,0,1,1,7
"264",41,0,0,16,38291,45,52,0,0,1,1,1
"265",55,1,0,14,30000,40,52,0,0,1,1,1
"266",47,0,0,16,32500,40,52,0,0,1,1,1
"267",39,1,0,16,32500,40,52,0,0,1,1,1
"268",21,0,1,13,30000,40,52,0,0,1,1,7
"269",42,0,0,14,5000,60,52,0,0,1,1,7
"270",56,0,0,16,63674,50,52,0,0,1,1,1
"271",47,0,0,14,40000,40,52,0,0,1,1,5
"272",40,0,1,20,75000,40,52,0,0,1,1,1
"273",30,1,0,12,32500,40,52,0,0,1,1,1
"274",35,1,0,13,31500,40,52,0,0,1,1,1
"275",39,0,0,16,36000,44,52,0,0,1,1,1
"276",44,1,0,16,37000,44,52,0,0,1,1,1
"277",43,0,0,12,31000,40,52,0,0,1,1,1
"278",29,1,0,12,27000,40,52,0,0,1,1,7
"279",40,1,0,16,46000,40,52,0,0,1,1,7
"280",55,1,0,16,50000,50,52,0,0,1,1,5
"281",38,1,0,14,61000,40,52,0,0,1,1,7
"282",35,0,0,20,50000,60,52,0,0,1,1,7
"283",39,0,0,13,50000,72,52,0,0,1,1,1
"284",32,1,0,14,60000,40,52,0,0,1,1,1
"285",41,0,0,12,40000,40,52,0,0,1,1,1
"286",43,1,0,14,42000,40,52,0,0,1,1,1
"287",47,0,0,12,39000,36,52,0,0,1,1,1
"288",43,0,0,13,39000,40,52,0,0,1,1,5
"289",55,0,0,13,25000,40,52,0,0,1,1,1
"290",47,1,0,14,25000,40,52,0,0,1,1,1
"291",46,0,0,14,78000,40,52,0,0,1,1,1
"292",43,1,0,12,43680,50,52,0,0,1,1,5
"293",60,0,0,13,76000,45,52,0,0,1,7,1
"294",50,0,0,18,150000,60,52,0,0,1,1,1
"295",43,0,0,12,51000,55,52,0,0,1,1,1
"296",44,1,0,16,67000,40,52,0,0,1,1,1
"297",51,0,0,12,50000,50,52,0,0,1,1,1
"298",43,1,0,18,50000,40,52,0,0,1,1,1
"299",41,0,0,18,44200,40,52,0,0,1,1,1
"300",51,0,0,12,34000,40,52,0,0,1,1,1
"301",42,0,0,12,49000,36,52,0,0,1,1,1
"302",61,0,0,14,8160,40,52,0,0,1,1,1
"303",42,1,0,13,30000,40,52,0,0,1,1,1
"304",37,0,0,12,45500,48,52,0,0,1,1,1
"305",40,0,0,18,88000,60,52,0,0,1,1,1
"306",56,0,0,12,28000,40,52,0,0,1,1,1
"307",46,1,0,14,32250,38,52,0,0,1,1,7
"308",31,1,0,13,18000,40,52,0,0,1,1,1
"309",37,1,0,13,17500,40,52,0,0,1,1,1
"310",41,0,0,12,21524,40,52,0,0,1,1,1
"311",62,0,0,12,13000,60,52,0,0,1,1,1
"312",41,0,0,12,22000,40,52,0,0,1,1,1
"313",36,1,0,18,43000,40,52,0,0,1,1,7
"314",55,0,0,14,30000,44,52,0,0,1,2,1
"315",44,1,0,12,27000,40,52,0,0,1,1,1
"316",46,1,0,13,49000,45,52,0,0,1,1,1
"317",50,0,0,13,51000,47,52,0,0,1,1,1
"318",48,0,0,20,102000,50,52,0,0,1,1,1
"319",61,0,0,16,47184,45,52,0,0,1,1,1
"320",53,0,0,16,50000,40,52,0,0,1,1,1
"321",54,0,0,12,50000,60,52,0,0,1,1,1
"322",52,1,0,14,52000,40,52,0,0,1,1,1
"323",26,1,0,13,16000,40,52,0,0,1,1,1
"324",29,0,0,14,28000,40,52,0,0,1,1,1
"325",29,0,0,13,43000,40,52,0,0,1,1,1
"326",23,0,0,16,25000,40,52,0,0,1,1,7
"327",75,1,0,13,75000,50,52,0,0,1,1,5
"328",54,0,0,13,50000,40,52,0,0,1,1,1
"329",53,0,0,16,41802,40,52,0,0,1,1,5
"330",39,1,0,18,44000,40,52,0,0,1,1,7
"331",69,1,0,13,8000,40,52,0,0,1,1,1
"332",78,0,0,12,19000,40,52,0,0,1,1,1
"333",43,0,0,12,40000,40,52,0,0,1,1,5
"334",59,1,0,12,30000,40,52,0,0,1,1,1
"335",63,0,0,12,40000,50,52,0,0,1,1,1
"336",56,0,0,16,45000,56,52,0,0,1,1,1
"337",50,1,0,14,66001,45,52,0,0,1,1,1
"338",40,0,0,12,25000,40,48,0,0,1,1,1
"339",37,1,0,13,30000,40,52,0,0,1,1,1
"340",55,1,0,12,40000,40,52,0,0,1,1,1
"341",56,0,0,12,40000,45,52,0,0,1,1,1
"342",49,1,0,9,23660,40,52,0,0,1,1,1
"343",52,0,0,12,87000,80,52,1,0,1,1,1
"344",51,1,0,12,24000,40,52,0,0,1,1,1
"345",46,0,0,14,105000,60,52,0,0,1,1,1
"346",56,1,0,14,75000,40,52,0,0,1,1,1
"347",60,0,0,14,65000,40,52,0,0,1,1,1
"348",51,0,0,18,63000,45,52,0,0,1,1,1
"349",48,1,1,16,35000,40,52,0,0,1,1,1
"350",53,1,0,13,20000,40,52,0,0,1,1,1
"351",29,0,0,16,60000,40,52,0,0,1,1,1
"352",49,0,0,13,45000,40,52,0,0,1,1,1
"353",20,0,0,12,30000,40,52,0,0,1,1,7
"354",28,1,0,14,79000,36,52,0,0,1,1,1
"355",54,0,0,16,68050,40,52,0,0,1,1,1
"356",48,0,0,18,57000,50,52,0,0,1,1,1
"357",50,1,0,18,45000,40,52,0,0,1,1,1
"358",51,1,0,13,58583,40,52,0,0,1,1,1
"359",52,0,0,18,199482,45,52,0,0,1,1,1
"360",47,1,0,14,30000,36,52,0,0,1,1,5
"361",23,1,0,13,19000,39,52,0,0,1,1,7
"362",26,0,0,13,35000,40,52,0,0,1,1,6
"363",24,0,0,14,41000,40,52,0,0,1,1,7
"364",43,1,0,16,70000,50,52,0,0,1,1,1
"365",43,0,0,12,2200,40,52,0,0,1,1,1
"366",29,0,0,18,59300,40,52,0,0,1,1,1
"367",37,0,0,16,47000,40,52,0,0,1,1,5
"368",51,1,0,12,18000,40,52,0,0,1,1,1
"369",36,1,0,12,28000,40,52,0,0,1,1,1
"370",38,0,0,13,30000,40,52,0,0,1,1,1
"371",24,1,0,16,42000,50,52,0,0,1,1,7
"372",57,0,0,16,81595,36,52,0,0,1,1,1
"373",46,0,0,14,52000,40,52,0,0,1,6,1
"374",45,1,0,14,30000,36,52,0,0,1,1,1
"375",29,0,0,9,24000,40,52,0,0,1,1,5
"376",74,1,0,12,40000,50,52,0,0,1,1,1
"377",46,0,0,12,50000,40,52,0,0,1,1,5
"378",44,0,0,14,58000,50,52,0,0,1,1,1
"379",43,1,0,16,25000,40,48,0,0,1,1,1
"380",36,0,0,16,37500,45,52,0,0,1,1,1
"381",38,1,0,12,34000,40,52,0,0,1,1,6
"382",40,1,0,10,5408,45,52,0,0,1,1,5
"383",46,1,0,12,42000,50,52,0,0,1,1,1
"384",50,1,0,14,75000,36,52,0,0,1,1,5
"385",49,0,0,14,72000,36,52,0,0,1,1,5
"386",46,0,0,16,45000,40,52,0,0,1,1,1
"387",41,0,0,13,52000,40,52,0,0,1,1,1
"388",43,0,0,12,41000,45,52,0,0,1,1,5
"389",43,0,1,12,18000,36,48,0,0,1,7,7
"390",40,1,0,13,38000,40,52,0,0,1,1,1
"391",41,0,0,12,46700,40,52,0,0,1,1,1
"392",41,1,0,14,68000,40,52,0,0,1,1,1
"393",53,1,0,12,23000,40,52,0,0,1,1,1
"394",47,1,0,12,30000,40,52,0,0,1,1,1
"395",46,0,0,12,62000,40,52,0,0,1,1,1
"396",40,0,0,16,24000,40,52,0,0,1,1,1
"397",39,1,0,18,33000,40,52,0,0,1,1,1
"398",62,1,0,16,37000,40,52,0,0,1,1,4
"399",32,0,0,13,46000,40,52,0,0,1,1,1
"400",46,0,0,14,16900,50,50,0,0,1,7,4
"401",53,1,0,12,65000,50,52,0,0,1,1,1
"402",53,0,0,18,59000,55,52,0,0,1,1,1
"403",49,0,0,12,20000,40,52,0,0,1,7,1
"404",48,1,0,12,32000,40,52,0,0,1,7,1
"405",40,1,0,16,50002,40,52,0,0,1,1,1
"406",36,1,0,14,40000,40,52,0,0,1,1,1
"407",43,0,0,12,30000,40,52,0,0,1,1,1
"408",51,0,0,18,49600,40,52,0,0,1,4,1
"409",49,1,0,16,20800,40,52,0,0,1,4,1
"410",31,0,0,13,40000,40,52,0,0,1,1,7
"411",48,1,0,12,27600,40,52,0,0,1,1,5
"412",24,0,0,12,27000,40,52,1,0,1,1,7
"413",57,0,0,14,68000,40,52,0,0,1,1,5
"414",54,0,0,12,37440,40,52,0,0,1,1,1
"415",54,1,0,13,52000,40,52,0,0,1,1,1
"416",35,0,0,13,49000,45,52,0,0,1,1,1
"417",36,1,0,12,37000,40,52,0,0,1,1,1
"418",42,0,0,14,80000,55,52,0,0,1,1,1
"419",25,0,0,13,44000,40,52,0,0,1,1,7
"420",51,0,0,13,79000,40,52,0,0,1,1,1
"421",29,0,0,13,50000,40,52,0,0,1,1,5
"422",53,0,0,12,34000,40,52,0,0,1,1,5
"423",46,1,0,16,26000,40,52,0,0,1,1,5
"424",25,0,0,14,57000,45,52,0,0,1,1,7
"425",24,1,0,14,25000,40,52,0,0,1,1,7
"426",59,1,0,14,60528,40,52,0,0,1,1,1
"427",44,0,0,18,78000,40,52,0,0,1,1,5
"428",51,0,0,14,18681,40,52,1,0,1,1,1
"429",33,1,0,14,25000,40,52,0,0,1,1,1
"430",49,1,0,16,56200,36,52,0,0,1,1,1
"431",46,1,0,16,25000,38,52,0,0,1,1,5
"432",56,0,0,14,35000,40,52,1,0,1,1,1
"433",27,0,0,12,35000,40,52,0,0,1,1,1
"434",31,1,0,13,58000,40,52,0,0,1,7,1
"435",53,1,0,12,35000,40,52,0,0,1,1,4
"436",55,0,0,12,35000,40,52,0,0,1,1,5
"437",48,1,0,16,32000,36,52,0,0,1,1,1
"438",56,0,0,12,29000,40,52,0,0,1,1,1
"439",43,0,0,12,37684,40,52,0,0,1,1,1
"440",46,0,0,12,39000,40,52,0,0,1,1,1
"441",33,1,0,14,37000,40,52,0,0,1,1,1
"442",46,1,0,14,30000,40,52,0,0,1,1,1
"443",48,0,0,13,45000,40,52,0,0,1,1,1
"444",54,1,0,12,39000,55,52,0,0,1,1,7
"445",23,1,0,16,30002,40,52,0,0,1,1,7
"446",23,0,0,13,23002,40,48,0,0,1,1,7
"447",44,0,0,18,97000,45,52,0,0,1,1,7
"448",32,0,0,12,41000,40,52,0,0,1,1,7
"449",43,0,0,14,42000,50,52,0,0,1,1,1
"450",56,0,0,16,81000,40,52,0,0,1,1,1
"451",34,1,0,10,18000,36,52,0,0,1,1,5
"452",32,0,0,13,60000,50,52,0,0,1,1,1
"453",27,1,0,12,37000,36,52,0,0,1,1,1
"454",36,0,0,12,43000,40,52,0,0,1,1,1
"455",36,1,0,12,19000,36,52,0,0,1,1,1
"456",43,0,0,12,44000,40,52,0,0,1,1,1
"457",50,1,0,12,29000,40,52,0,0,1,1,1
"458",24,1,0,12,7000,45,52,0,0,1,1,7
"459",27,1,0,16,32000,40,52,0,0,1,1,5
"460",26,1,1,12,28000,40,52,0,0,1,1,7
"461",27,0,1,12,18500,40,52,0,0,1,1,7
"462",55,0,1,12,22000,40,49,0,0,1,1,1
"463",31,0,0,12,51325,50,52,0,0,1,1,5
"464",47,0,0,12,50000,40,52,0,0,1,1,1
"465",46,0,0,12,46000,40,50,0,0,1,7,7
"466",48,1,0,12,22500,40,52,0,0,1,1,7
"467",18,0,0,12,15000,40,52,0,0,1,1,7
"468",36,0,0,12,31000,40,52,0,0,1,1,7
"469",53,1,0,16,46000,40,52,0,0,1,1,1
"470",40,0,0,13,35000,41,52,0,0,1,1,1
"471",52,0,0,14,45000,45,52,0,0,1,1,1
"472",50,1,0,12,25000,40,52,0,0,1,1,1
"473",36,0,0,13,48000,50,52,0,0,1,1,1
"474",32,1,0,12,24000,37,52,0,0,1,1,1
"475",32,0,0,9,55000,65,52,0,0,1,1,1
"476",39,1,0,13,32000,52,52,0,0,1,1,7
"477",48,0,0,12,75000,46,52,0,0,1,1,1
"478",39,0,0,16,80000,70,52,0,0,1,1,1
"479",39,1,0,8,8900,40,52,0,0,1,1,7
"480",56,0,0,16,59000,40,52,0,0,1,1,1
"481",45,1,0,13,51000,40,52,0,0,1,1,1
"482",44,0,0,12,45000,55,52,0,0,1,1,1
"483",42,1,0,12,25000,40,52,0,0,1,1,1
"484",49,0,0,14,47000,40,52,0,0,1,1,1
"485",46,1,0,18,8500,45,52,0,0,1,1,1
"486",62,0,0,12,48000,50,52,0,0,1,1,1
"487",42,0,0,12,389599,40,52,0,0,1,1,5
"488",56,0,0,13,56000,42,52,1,0,1,1,1
"489",50,0,0,18,83000,45,52,0,0,1,1,1
"490",51,0,0,13,51000,40,52,0,0,1,1,1
"491",47,1,0,13,26000,40,52,0,0,1,1,1
"492",69,0,0,12,50000,40,52,0,0,1,1,1
"493",40,1,0,14,28000,40,52,0,0,1,1,7
"494",50,0,0,14,40000,40,52,0,0,1,1,1
"495",36,1,0,18,70000,38,48,0,0,1,1,1
"496",58,0,0,18,49500,40,52,0,0,1,1,7
"497",37,0,0,12,22000,40,52,0,0,1,1,5
