risk_aversion,drug_tolerance,beta,risk_error,prescribing_prob,addict_risk_aversion,addict_drug_tolerance,addict_risk_aversion_growth,search_cost,prescriptions,consumption,V0,V1
low,low,0.94,-0.0960302651814714,0.7836236846608697,0.2,0.3,0.10396973481852861,1.1081881576695651,3.0,0.9000134631965544,75.42546203643542,75.42546203643542
low,high,0.94,-0.15271501774821652,0.7090929019697217,0.2,0.7,0.047284982251783486,1.1454535490151392,7.0,4.900000270765691,75.42546203643542,75.42546203643542
high,low,0.94,-0.034951728572778985,0.6400136271211003,0.8,0.3,0.7650482714272211,1.1799931864394497,3.0,1.7442878653955112,75.42546203643542,75.42546203643542
high,low,0.94,-0.07652663139651368,0.5332456733723728,0.8,0.3,0.7234733686034863,1.2333771633138135,3.0,1.7229512124389066,75.42546203643542,75.42546203643542
high,high,0.94,0.035094287964288234,0.4095421582827541,0.8,0.7,0.8350942879642883,1.295228920858623,7.0,5.933989014140202,75.42546203643542,75.42546203643542
low,high,0.94,-0.07776125596046915,0.41891246535974136,0.2,0.7,0.12223874403953086,1.2905437673201292,7.0,4.900035222253049,75.42546203643542,75.42546203643542
low,low,0.94,0.02945030996323186,0.9913971553292732,0.2,0.3,0.22945030996323187,1.0043014223353635,3.0,0.9006387153026882,75.42546203643542,75.42546203643542
low,low,0.94,-0.09873634918370816,0.14816812515406597,0.2,0.3,0.10126365081629185,1.425915937422967,3.0,0.9000151831480557,75.42546203643542,75.42546203643542
low,high,0.94,-0.03987664626214578,0.48057311992794716,0.2,0.7,0.16012335373785425,1.2597134400360264,7.0,4.900132600496872,75.42546203643542,75.42546203643542
low,high,0.94,0.2005054472069969,0.3569143961599719,0.2,0.7,0.4005054472069969,1.321542801920014,7.0,4.913618314819122,75.42546203643542,75.42546203643542
low,low,0.94,-0.12043280336945766,0.7898642423846722,0.2,0.3,0.07956719663054235,1.105067878807664,3.0,0.9000035241893962,75.42546203643542,75.42546203643542
high,low,0.94,0.04450791655770075,0.15911111210776807,0.8,0.3,0.8445079165577007,1.420444443946116,3.0,2.049949870645362,75.42546203643542,75.42546203643542
high,high,0.94,-0.14642548210038553,0.036330538845241844,0.8,0.7,0.6535745178996145,1.4818347305773791,7.0,5.770800477264242,75.42546203643542,75.42546203643542
low,high,0.94,-0.07934032571188743,0.35186567934935475,0.2,0.7,0.12065967428811258,1.3240671603253227,7.0,4.900033862635624,75.42546203643542,75.42546203643542
high,low,0.94,-0.004166874818992869,0.4604660049014665,0.8,0.3,0.7958331251810071,1.2697669975492667,3.0,1.8544464129135103,75.42546203643542,75.42546203643542
low,high,0.94,-0.05300104783620818,0.6271097426781902,0.2,0.7,0.14699895216379183,1.186445128660905,7.0,4.90008143645359,75.42546203643542,75.42546203643542
low,low,0.94,0.00493840050054215,0.3162639001738118,0.2,0.3,0.20493840050054216,1.3418680499130942,3.0,0.9004850946935964,75.42546203643542,75.42546203643542
high,high,0.94,0.02975130334510851,0.5413050649851134,0.8,0.7,0.8297513033451086,1.2293474675074432,7.0,5.873552956473552,75.42546203643542,75.42546203643542
high,low,0.94,-0.1689436584333862,0.6650532116596697,0.8,0.3,0.6310563415666138,1.1674733941701652,3.0,1.5566472976678305,75.42546203643542,75.42546203643542
low,high,0.94,-0.0994077117399889,0.6921395857788954,0.2,0.7,0.10059228826001111,1.1539302071105522,7.0,4.900011885103824,75.42546203643542,75.42546203643542
low,low,0.94,-0.08920856649340435,0.9625167464245432,0.2,0.3,0.11079143350659566,1.0187416267877283,3.0,0.9000170057175076,75.42546203643542,75.42546203643542
high,low,0.94,-0.1046204767960878,0.8852523919157984,0.8,0.3,0.6953795232039123,1.0573738040421008,3.0,1.5714380040788756,75.42546203643542,75.42546203643542
low,low,0.94,0.15978450665753025,0.9876799444981478,0.2,0.3,0.35978450665753026,1.0061600277509262,3.0,0.9060656779352707,75.42546203643542,75.42546203643542
low,low,0.94,0.07659969672619132,0.9821134412420214,0.2,0.3,0.27659969672619134,1.0089432793789892,3.0,0.901633522985291,75.42546203643542,75.42546203643542
high,low,0.94,-0.035002449261906564,0.37424222320524925,0.8,0.3,0.7649975507380935,1.3128788883973754,3.0,1.8392900473872622,75.42546203643542,75.42546203643542
low,low,0.94,0.02883148444200457,0.2944730913895899,0.2,0.3,0.22883148444200457,1.352763454305205,3.0,0.9008487909717571,75.42546203643542,75.42546203643542
low,low,0.94,-0.055629691064477085,0.05092201157387244,0.2,0.3,0.14437030893552294,1.4745389942130638,3.0,0.9000924795464241,75.42546203643542,75.42546203643542
low,high,0.94,-0.04920708727754584,0.5990753556042844,0.2,0.7,0.15079291272245418,1.2004623221978579,7.0,4.900093595115489,75.42546203643542,75.42546203643542
high,low,0.94,0.23561497578827,0.24944175437104732,0.8,0.3,1.03561497578827,1.3752791228144763,3.0,2.336774967673618,75.42546203643542,75.42546203643542
low,low,0.94,0.11716489846090856,0.2059967509907572,0.2,0.3,0.31716489846090856,1.3970016245046213,3.0,0.9044835549278096,75.42546203643542,75.42546203643542
low,high,0.94,-0.031184446129592553,0.4041390768417331,0.2,0.7,0.16881555387040745,1.2979304615791334,7.0,4.900177956442427,75.42546203643542,75.42546203643542
low,low,0.94,-0.017020358164609752,0.3000543844380479,0.2,0.3,0.18297964183539026,1.349972807780976,3.0,0.9002769101574317,75.42546203643542,75.42546203643542
low,high,0.94,-0.04331499853313911,0.8443524459270133,0.2,0.7,0.1566850014668609,1.0778237770364933,7.0,4.900101785259924,75.42546203643542,75.42546203643542
low,low,0.94,-0.18164400371712755,0.6484791416050557,0.2,0.3,0.01835599628287246,1.1757604291974721,3.0,0.90000000245024,75.42546203643542,75.42546203643542
low,low,0.94,-0.10064058006542005,0.5351996939710659,0.2,0.3,0.09935941993457996,1.232400153014467,3.0,0.9000119343008194,75.42546203643542,75.42546203643542
low,low,0.94,-0.037315581810649666,0.0008524975504065058,0.2,0.3,0.16268441818935034,1.4995737512247969,3.0,0.9001708825130442,75.42546203643542,75.42546203643542
high,low,0.94,-0.07117380814746485,0.4584845544669993,0.8,0.3,0.7288261918525352,1.2707577227665003,3.0,1.7557417523499335,75.42546203643542,75.42546203643542
low,low,0.94,0.010714445058177416,0.698100005265746,0.2,0.3,0.21071444505817744,1.1509499973671269,3.0,0.9004781101898904,75.42546203643542,75.42546203643542
low,low,0.94,-0.013729422064052456,0.5986090950233395,0.2,0.3,0.18627057793594756,1.2006954524883302,3.0,0.9002692490477382,75.42546203643542,75.42546203643542
high,high,0.94,0.007714800902815071,0.9604483554515545,0.8,0.7,0.8077148009028151,1.0197758222742228,7.0,5.680867346906991,75.42546203643542,75.42546203643542
high,low,0.94,0.016059485094992134,0.21940529618677318,0.8,0.3,0.8160594850949922,1.3902973519066135,3.0,1.9783505564727324,75.42546203643542,75.42546203643542
high,low,0.94,0.03210667205472396,0.12033371851345465,0.8,0.3,0.832106672054724,1.4398331407432727,3.0,2.0442895212119296,75.42546203643542,75.42546203643542
low,high,0.94,0.09411787185089289,0.4285872640715922,0.2,0.7,0.2941178718508929,1.2857063679642038,7.0,4.902829755217545,75.42546203643542,75.42546203643542
high,low,0.94,0.041146807630767626,0.46838288933004746,0.8,0.3,0.8411468076307677,1.2658085553349763,3.0,1.9196656233820277,75.42546203643542,75.42546203643542
low,high,0.94,0.1312246733796893,0.7384683097095097,0.2,0.7,0.3312246733796893,1.1307658451452451,7.0,4.904508022600472,75.42546203643542,75.42546203643542
high,high,0.94,0.09273063912543418,0.6558116206759822,0.8,0.7,0.8927306391254343,1.172094189662009,7.0,5.917098616212142,75.42546203643542,75.42546203643542
high,low,0.94,-0.11789979269534573,0.9103968600155724,0.8,0.3,0.6821002073046543,1.0448015699922137,3.0,1.5476554783111562,75.42546203643542,75.42546203643542
low,high,0.94,-0.02683599410321887,0.6273475038772595,0.2,0.7,0.17316400589678113,1.1863262480613703,7.0,4.900184710787385,75.42546203643542,75.42546203643542
low,high,0.94,0.024001762041489325,0.6057296294387121,0.2,0.7,0.22400176204148933,1.197135185280644,7.0,4.900675150149877,75.42546203643542,75.42546203643542
low,high,0.94,0.10233849957921473,0.7498238865252136,0.2,0.7,0.30233849957921477,1.1250880567373933,7.0,4.902842194415701,75.42546203643542,75.42546203643542
low,high,0.94,0.1632538340221743,0.9181853840450908,0.2,0.7,0.3632538340221743,1.0409073079774547,7.0,4.906583594773115,75.42546203643542,75.42546203643542
high,low,0.94,-0.005174813271167029,0.053471619135953885,0.8,0.3,0.7948251867288331,1.473264190432023,3.0,2.0056563355694124,75.42546203643542,75.42546203643542
high,low,0.94,0.08544553326303223,0.7472458615088133,0.8,0.3,0.8854455332630322,1.1263770692455934,3.0,1.867466898704502,75.42546203643542,75.42546203643542
low,low,0.94,-0.008124360914047075,0.12224390169509891,0.2,0.3,0.19187563908595293,1.4388780491524504,3.0,0.9003742167166253,75.42546203643542,75.42546203643542
high,high,0.94,-0.11165303547856045,0.3511551684726919,0.8,0.7,0.6883469645214396,1.324422415763654,7.0,5.7303970057902065,75.42546203643542,75.42546203643542
high,low,0.94,-0.0354503777318352,0.8372545701807924,0.8,0.3,0.7645496222681648,1.0813727149096037,3.0,1.67309435991242,75.42546203643542,75.42546203643542
low,low,0.94,0.24727184003486316,0.6867033803117744,0.2,0.3,0.4472718400348632,1.1566483098441127,3.0,0.920704231173594,75.42546203643542,75.42546203643542
low,high,0.94,-0.05704515803099677,0.7078061624614511,0.2,0.7,0.14295484196900324,1.1460969187692744,7.0,4.90006842513986,75.42546203643542,75.42546203643542
low,low,0.94,0.1457979161151422,0.565963830329733,0.2,0.3,0.3457979161151422,1.2170180848351335,3.0,0.906017400123948,75.42546203643542,75.42546203643542
low,low,0.94,-0.18866269886211093,0.3157334703908473,0.2,0.3,0.011337301137889083,1.3421332648045763,3.0,0.9000000002513876,75.42546203643542,75.42546203643542
low,high,0.94,-0.11719928531477407,0.9345042729180651,0.2,0.7,0.08280071468522594,1.0327478635409675,7.0,4.900004019432428,75.42546203643542,75.42546203643542
low,high,0.94,0.12863394731587705,0.009044744665797855,0.2,0.7,0.32863394731587703,1.4954776276671011,7.0,4.905732473249568,75.42546203643542,75.42546203643542
high,high,0.94,-0.10295216743418467,0.9347175252651361,0.8,0.7,0.6970478325658154,1.0326412373674319,7.0,5.5576997708105385,75.42546203643542,75.42546203643542
high,low,0.94,-0.035491253080043944,0.6091602082602764,0.8,0.3,0.7645087469199561,1.1954198958698619,3.0,1.7545717912616503,75.42546203643542,75.42546203643542
low,high,0.94,0.023040142522174546,0.7683966764310546,0.2,0.7,0.22304014252217455,1.1158016617844728,7.0,4.9006158886114735,75.42546203643542,75.42546203643542
low,low,0.94,-0.08666358576142032,0.06597017341387301,0.2,0.3,0.1133364142385797,1.4670149132930634,3.0,0.900027433541118,75.42546203643542,75.42546203643542
low,low,0.94,0.08520088572144974,0.021992289093463624,0.2,0.3,0.28520088572144975,1.489003855453268,3.0,0.9028096367311358,75.42546203643542,75.42546203643542
low,high,0.94,0.06285932173105473,0.08666331714271969,0.2,0.7,0.26285932173105475,1.45666834142864,7.0,4.901828005913111,75.42546203643542,75.42546203643542
high,high,0.94,0.033543295844332376,0.5623537754020235,0.8,0.7,0.8335432958443324,1.2188231122989883,7.0,5.870735438455889,75.42546203643542,75.42546203643542
low,low,0.94,0.03303381607423539,0.18854006471801976,0.2,0.3,0.2330338160742354,1.40572996764099,3.0,0.9009660434020347,75.42546203643542,75.42546203643542
low,low,0.94,-0.11976287877460219,0.7858551067347275,0.2,0.3,0.08023712122539782,1.1070724466326363,3.0,0.9000036817367675,75.42546203643542,75.42546203643542
low,high,0.94,-0.05741970372663424,0.633941523738684,0.2,0.7,0.14258029627336577,1.183029238130658,7.0,4.900069709672478,75.42546203643542,75.42546203643542
high,low,0.94,-0.1110315106736511,0.9201486575963947,0.8,0.3,0.6889684893263489,1.0399256712018026,3.0,1.5527569409436484,75.42546203643542,75.42546203643542
low,low,0.94,0.1445506513081922,0.1579639895422421,0.2,0.3,0.3445506513081922,1.421018005228879,3.0,0.9069002520816347,75.42546203643542,75.42546203643542
low,low,0.94,0.10759432505253877,0.461503065920149,0.2,0.3,0.3075943250525388,1.2692484670399256,3.0,0.9034949280638489,75.42546203643542,75.42546203643542
high,low,0.94,-0.008678085999100906,0.4177003764177617,0.8,0.3,0.7913219140008991,1.291149811791119,3.0,1.8636473406512217,75.42546203643542,75.42546203643542
high,high,0.94,-0.036227193035008425,0.9977509967262781,0.8,0.7,0.7637728069649916,1.0011245016368608,7.0,5.614814461731534,75.42546203643542,75.42546203643542
high,high,0.94,-0.029863502265825806,0.08976372886876183,0.8,0.7,0.7701364977341743,1.455118135565619,7.0,5.949803183780309,75.42546203643542,75.42546203643542
low,low,0.94,-0.06004928748168789,0.3239203138496626,0.2,0.3,0.13995071251831212,1.3380398430751688,3.0,0.9000718364091186,75.42546203643542,75.42546203643542
low,high,0.94,0.0747846644741736,0.574137138915368,0.2,0.7,0.2747846644741736,1.212931430542316,7.0,4.9019001973456255,75.42546203643542,75.42546203643542
high,low,0.94,-0.07751856986174463,0.505311481764109,0.8,0.3,0.7224814301382554,1.2473442591179456,3.0,1.730844393732881,75.42546203643542,75.42546203643542
low,high,0.94,-0.019168114425482576,0.6429342224636276,0.2,0.7,0.18083188557451743,1.1785328887681863,7.0,4.900227885535758,75.42546203643542,75.42546203643542
high,high,0.94,0.11430638783018054,0.4113705514079945,0.8,0.7,0.9143063878301806,1.2943147242960027,7.0,6.057189766316608,75.42546203643542,75.42546203643542
high,high,0.94,-0.005297907608120578,0.8629251954862847,0.8,0.7,0.7947020923918795,1.0685374022568577,7.0,5.701761456000689,75.42546203643542,75.42546203643542
high,low,0.94,0.029543352127735668,0.18528636261640674,0.8,0.3,0.8295433521277357,1.4073568186917966,3.0,2.0141741566142803,75.42546203643542,75.42546203643542
high,high,0.94,0.01481271811648362,0.4732825787707834,0.8,0.7,0.8148127181164837,1.2633587106146082,7.0,5.878022684378475,75.42546203643542,75.42546203643542
high,low,0.94,0.10807595542962677,0.6216918739468589,0.8,0.3,0.9080759554296268,1.1891540630265705,3.0,1.9541219202298166,75.42546203643542,75.42546203643542
high,low,0.94,0.013271270201539582,0.9133773140480166,0.8,0.3,0.8132712702015397,1.0433113429759917,3.0,1.7057646629091305,75.42546203643542,75.42546203643542
high,low,0.94,0.23346595599288567,0.2440224578559691,0.8,0.3,1.0334659559928858,1.3779887710720153,3.0,2.3358725636549513,75.42546203643542,75.42546203643542
high,low,0.94,0.03857940776425478,0.4653606287637556,0.8,0.3,0.8385794077642548,1.2673196856181221,3.0,1.9169893921153809,75.42546203643542,75.42546203643542
low,high,0.94,-0.19742244903473785,0.9550548647656737,0.2,0.7,0.0025775509652621598,1.022472567617163,7.0,4.900000000000116,75.42546203643542,75.42546203643542
high,low,0.94,-0.13773207369686996,0.7548655155145181,0.8,0.3,0.6622679263031301,1.122567242242741,3.0,1.570663263886682,75.42546203643542,75.42546203643542
high,high,0.94,0.0956348743144274,0.6467372702597797,0.8,0.7,0.8956348743144275,1.17663136487011,7.0,5.925189538435818,75.42546203643542,75.42546203643542
high,high,0.94,-0.08870134509145505,0.6232564822911385,0.8,0.7,0.7112986549085449,1.1883717588544307,7.0,5.676278050848154,75.42546203643542,75.42546203643542
high,high,0.94,-0.003199650676631397,0.1479074356507908,0.8,0.7,0.7968003493233686,1.4260462821746045,7.0,5.97354564746971,75.42546203643542,75.42546203643542
high,high,0.94,0.05748134744680661,0.5765954258636258,0.8,0.7,0.8574813474468066,1.211702287068187,7.0,5.899831418418127,75.42546203643542,75.42546203643542
