market,x1,x2,share1,share2,p1,p2,mc1,mc2,zone,inc_mu,inc_sig,active1,active2,micro11,micro12,micro21,micro22
29,0,0,0,0,0,0,0,0,26,-2.582565,1,0,0,12.0892,9.69542,3.016548,3.037952
30,-3.315657,0,.0000458,0,2.834084,0,.8994656,0,11,-1.316094,1,1,0,12.0892,9.69542,3.016548,3.037952
31,-1.48979,0,.0114953,0,2.506603,0,.3794661,0,27,.0810585,1,1,0,12.0892,9.69542,3.016548,3.037952
32,0,0,0,0,0,0,0,0,48,2.243574,1,0,0,12.0892,9.69542,3.016548,3.037952
33,.8553312,4.6251,.0029436,.6588093,1.688325,2.431831,.9509271,.7159587,7,1.292325,1,1,1,12.0892,9.69542,3.016548,3.037952
34,-4.74235,0,.0000817,0,1.503581,0,.3620194,0,46,2.366449,1,1,0,12.0892,9.69542,3.016548,3.037952
35,-.4173068,0,.0051764,0,2.162823,0,.7157792,0,8,.7105106,1,1,0,12.0892,9.69542,3.016548,3.037952
36,.2247928,0,.2494505,0,1.03133,0,.6792048,0,26,1.188949,1,1,0,12.0892,9.69542,3.016548,3.037952
37,.9221339,-3.835114,.2239865,.0000259,2.834084,2.615286,.221998,.2735764,11,2.821939,1,1,1,12.0892,9.69542,3.016548,3.037952
38,-.9775671,-2.359745,.0012874,.0015262,2.007477,1.456939,.6945047,.7246118,28,.8594552,1,1,1,12.0892,9.69542,3.016548,3.037952
39,2.920767,0,.133856,0,1.880693,0,.2460049,0,31,.1850367,1,1,0,12.0892,9.69542,3.016548,3.037952
40,3.248923,3.401795,.2034326,.5591437,1.318672,2.097891,.3079315,.4486939,47,-.529774,1,1,1,12.0892,9.69542,3.016548,3.037952
41,-.3694102,0,.0234653,0,1.29275,0,.0603655,0,15,2.030148,1,1,0,12.0892,9.69542,3.016548,3.037952
42,0,0,0,0,0,0,0,0,25,1.270848,1,0,0,12.0892,9.69542,3.016548,3.037952
43,-2.509092,0,.0003774,0,2.040111,0,.1337236,0,29,1.331765,1,1,0,12.0892,9.69542,3.016548,3.037952
44,4.056682,-4.988859,.6144053,.0000232,1.561964,1.385112,.3321531,.7257969,39,-.5849521,1,1,1,12.0892,9.69542,3.016548,3.037952
45,0,.5364084,0,.0060006,0,2.61161,0,.2310613,27,-2.212032,1,0,1,12.0892,9.69542,3.016548,3.037952
46,-.5544665,0,.0853994,0,.9934634,0,.3437603,0,22,1.295176,1,1,0,12.0892,9.69542,3.016548,3.037952
47,0,0,0,0,0,0,0,0,59,-.5443093,1,0,0,12.0892,9.69542,3.016548,3.037952
48,-.0791208,4.620287,.0086945,.528811,1.677043,1.461716,.6974601,.3723353,1,-.1868762,1,1,1,12.0892,9.69542,3.016548,3.037952
49,.3445348,0,.0129887,0,2.506603,0,.4240403,0,27,.98207,1,1,0,12.0892,9.69542,3.016548,3.037952
50,0,0,0,0,0,0,0,0,54,-.957081,1,0,0,12.0892,9.69542,3.016548,3.037952
51,2.395424,1.246375,.2079912,.1712171,2.41718,1.225348,.1903482,.3675959,13,1.510817,1,1,1,12.0892,9.69542,3.016548,3.037952
52,0,.8561147,0,.0232336,0,1.165532,0,.475501,53,1.866255,1,0,1,12.0892,9.69542,3.016548,3.037952
53,-4.251197,0,1.59e-06,0,3.411686,0,.0096091,0,59,-1.560386,1,1,0,12.0892,9.69542,3.016548,3.037952
54,-.3840245,0,.0082626,0,1.389676,0,.9778706,0,56,-2.483282,1,1,0,12.0892,9.69542,3.016548,3.037952
55,4.638495,0,.6142856,0,2.243272,0,.9402824,0,4,-2.052464,1,1,0,12.0892,9.69542,3.016548,3.037952
56,-4.896783,0,.0028939,0,3.515329,0,.7755325,0,48,2.50382,1,1,0,12.0892,9.69542,3.016548,3.037952
57,0,0,0,0,0,0,0,0,4,.9728996,1,0,0,12.0892,9.69542,3.016548,3.037952
58,-.8382878,0,.0012287,0,1.581192,0,.9093469,0,35,-2.267296,1,1,0,12.0892,9.69542,3.016548,3.037952
59,3.46526,2.823908,.0627196,.0810132,1.853332,1.395871,.7009716,.4042339,36,-1.367463,1,1,1,12.0892,9.69542,3.016548,3.037952
60,3.619182,-1.065464,.7171579,.0153011,1.813945,1.599249,.2041531,.9597172,52,-.4773618,1,1,1,12.0892,9.69542,3.016548,3.037952
61,4.266727,0,.7062272,0,3.411686,0,.2610565,0,59,2.439915,1,1,0,12.0892,9.69542,3.016548,3.037952
62,0,0,0,0,0,0,0,0,41,-.93621,1,0,0,12.0892,9.69542,3.016548,3.037952
63,-4.585031,-2.511609,.0000276,.0013935,2.268338,2.493777,.8689814,.8060761,25,-.2005722,1,1,1,12.0892,9.69542,3.016548,3.037952
64,0,0,0,0,0,0,0,0,53,1.864768,1,0,0,12.0892,9.69542,3.016548,3.037952
65,-3.758179,1.265965,.000168,.2377521,1.408412,1.268405,.503589,.5588838,19,-.6788077,1,1,1,12.0892,9.69542,3.016548,3.037952
66,0,0,0,0,0,0,0,0,32,-.2306074,1,0,0,12.0892,9.69542,3.016548,3.037952
67,3.332126,0,.410122,0,2.049694,0,.1408598,0,41,.4284163,1,1,0,12.0892,9.69542,3.016548,3.037952
68,0,3.724639,0,.6100382,0,2.493777,0,.4595833,25,2.464677,1,0,1,12.0892,9.69542,3.016548,3.037952
69,4.849133,0,.7204876,0,2.825035,0,.5786589,0,30,2.035033,1,1,0,12.0892,9.69542,3.016548,3.037952
70,2.828544,-1.370996,.2216123,.0014356,1.541668,1.505718,.819915,.8646701,10,.2542419,1,1,1,12.0892,9.69542,3.016548,3.037952
71,-1.819748,-1.592372,.0097837,.0011507,1.503581,2.223533,.4578147,.6470879,46,-1.793861,1,1,1,12.0892,9.69542,3.016548,3.037952
72,3.282067,3.803781,.2585731,.5897821,1.318672,2.097891,.120472,.9476652,47,2.201854,1,1,1,12.0892,9.69542,3.016548,3.037952
73,3.246548,0,.6276667,0,1.318672,0,.0958603,0,47,1.620704,1,1,0,12.0892,9.69542,3.016548,3.037952
74,3.961992,2.328261,.5732865,.1011346,1.664243,1.61873,.5492482,.9043995,24,-1.315898,1,1,1,12.0892,9.69542,3.016548,3.037952
75,0,0,0,0,0,0,0,0,3,.1004098,1,0,0,12.0892,9.69542,3.016548,3.037952
76,0,-3.605163,0,.0000795,0,1.624105,0,.2237688,59,-2.584468,1,0,1,12.0892,9.69542,3.016548,3.037952
77,4.850793,-4.76586,.8508451,4.57e-06,2.41718,1.225348,.5885029,.2492115,13,-1.081462,1,1,1,12.0892,9.69542,3.016548,3.037952
78,-2.350875,0,.004134,0,1.138756,0,.3566014,0,42,-.040255,1,1,0,12.0892,9.69542,3.016548,3.037952
79,0,2.639657,0,.2444624,0,1.913254,0,.3435378,38,-1.16689,1,0,1,12.0892,9.69542,3.016548,3.037952
80,.2880812,.5028608,.0017168,.0819478,3.04175,1.577091,.6440281,.6348565,20,1.369278,1,1,1,12.0892,9.69542,3.016548,3.037952
81,2.227571,0,.3830367,0,2.173529,0,.2472447,0,43,2.672599,1,1,0,12.0892,9.69542,3.016548,3.037952
82,-1.310227,0,.0008102,0,1.263769,0,.1258837,0,50,-.5174034,1,1,0,12.0892,9.69542,3.016548,3.037952
83,-4.847871,3.001806,9.99e-06,.2859253,1.503581,2.223533,.8286029,.6254953,46,-1.435484,1,1,1,12.0892,9.69542,3.016548,3.037952
84,3.669697,0,.6308952,0,1.561964,0,.3375537,0,39,-.1977053,1,1,0,12.0892,9.69542,3.016548,3.037952
85,.356245,2.529117,.0178923,.3318178,1.408412,1.268405,.8349828,.8099458,19,-1.106691,1,1,1,12.0892,9.69542,3.016548,3.037952
86,3.201854,-2.53799,.7246879,.000057,2.268338,2.493777,.6713324,.6276264,25,2.883946,1,1,1,12.0892,9.69542,3.016548,3.037952
87,-3.81663,0,7.81e-06,0,2.834084,0,.4930787,0,11,.4971501,1,1,0,12.0892,9.69542,3.016548,3.037952
88,.9598459,0,.0016816,0,3.515329,0,.88703,0,48,-.5674206,1,1,0,12.0892,9.69542,3.016548,3.037952
89,0,0,0,0,0,0,0,0,50,-1.513132,1,0,0,12.0892,9.69542,3.016548,3.037952
90,0,0,0,0,0,0,0,0,4,-2.28463,1,0,0,12.0892,9.69542,3.016548,3.037952
91,-4.407274,0,.0001555,0,1.537274,0,.2908095,0,53,1.42046,1,1,0,12.0892,9.69542,3.016548,3.037952
92,-1.449674,0,.0005465,0,1.880046,0,.2878847,0,23,-.3115201,1,1,0,12.0892,9.69542,3.016548,3.037952
93,-4.796876,0,.0001282,0,1.387304,0,.9181257,0,9,-2.355925,1,1,0,12.0892,9.69542,3.016548,3.037952
94,4.762061,1.662742,.7252618,.1670668,2.162823,.9466388,.0034772,.2186854,8,1.485654,1,1,1,12.0892,9.69542,3.016548,3.037952
95,0,0,0,0,0,0,0,0,33,1.600385,1,0,0,12.0892,9.69542,3.016548,3.037952
96,0,-2.152399,0,.0020128,0,1.757742,0,.3196416,33,1.270745,1,0,1,12.0892,9.69542,3.016548,3.037952
97,2.150991,.5092574,.195611,.0066344,2.506603,2.61161,.342013,.700253,27,1.906789,1,1,1,12.0892,9.69542,3.016548,3.037952
98,-4.547512,0,.0000201,0,1.880693,0,.9848703,0,31,1.116228,1,1,0,12.0892,9.69542,3.016548,3.037952
99,-1.613377,3.029886,.0052759,.1232306,1.29275,1.396256,.1308243,.7599918,15,.9468093,1,1,1,12.0892,9.69542,3.016548,3.037952
100,0,-2.079155,0,.0043403,0,1.913254,0,.8130624,38,1.348959,1,0,1,12.0892,9.69542,3.016548,3.037952
101,-1.228301,-2.417929,.033851,.0021435,3.142282,1.199866,.8971702,.2989959,54,2.237831,1,1,1,12.0892,9.69542,3.016548,3.037952
102,-4.776455,2.653069,4.56e-07,.4962194,3.411686,1.624105,.8535267,.5970567,59,-.166901,1,1,1,12.0892,9.69542,3.016548,3.037952
103,2.93063,0,.3325245,0,2.285909,0,.6134024,0,44,2.344268,1,1,0,12.0892,9.69542,3.016548,3.037952
104,-3.397288,3.029836,8.92e-07,.2423811,4.061109,2.039063,.981049,.2424296,17,-1.230257,1,1,1,12.0892,9.69542,3.016548,3.037952
105,-3.180541,0,.0002911,0,1.232656,0,.081503,0,34,-2.519531,1,1,0,12.0892,9.69542,3.016548,3.037952
106,-2.496203,0,.0005031,0,1.543918,0,.1369441,0,33,.8016968,1,1,0,12.0892,9.69542,3.016548,3.037952
107,.2909164,0,.0682291,0,1.389676,0,.9396303,0,56,2.029127,1,1,0,12.0892,9.69542,3.016548,3.037952
108,-4.606597,-.8442622,.0000299,.0364959,2.903636,1.307828,.3293861,.6895316,57,2.183697,1,1,1,12.0892,9.69542,3.016548,3.037952
109,0,1.102065,0,.4811817,0,1.225348,0,.2763015,13,.0855416,1,0,1,12.0892,9.69542,3.016548,3.037952
110,-.6314975,3.774621,.0098215,.3675226,1.664243,1.61873,.9450042,.896437,24,-2.847141,1,1,1,12.0892,9.69542,3.016548,3.037952
111,-2.354655,0,.0000203,0,3.144795,0,.4182364,0,49,-2.314774,1,1,0,12.0892,9.69542,3.016548,3.037952
112,-3.439047,0,.0002332,0,2.41718,0,.669108,0,13,-.3526178,1,1,0,12.0892,9.69542,3.016548,3.037952
113,1.743873,0,.4422155,0,1.408412,0,.6540788,0,19,-2.227338,1,1,0,12.0892,9.69542,3.016548,3.037952
114,-4.355536,2.521898,6.52e-06,.4787221,1.03133,1.50716,.2163008,.7909534,26,-.624403,1,1,1,12.0892,9.69542,3.016548,3.037952
115,0,0,0,0,0,0,0,0,55,1.036629,1,0,0,12.0892,9.69542,3.016548,3.037952
116,0,1.958393,0,.0382457,0,2.460344,0,.7121521,30,1.187501,1,0,1,12.0892,9.69542,3.016548,3.037952
117,.8482805,-3.70452,.0013915,.0000696,2.506603,2.61161,.0817987,.6127809,27,-2.524028,1,1,1,12.0892,9.69542,3.016548,3.037952
118,.5385087,2.460922,.0245543,.0950233,1.503581,2.223533,.4345147,.3422448,46,-1.505275,1,1,1,12.0892,9.69542,3.016548,3.037952
119,4.249911,.6585694,.5572106,.1180935,1.208681,.986953,.0753275,.4182131,14,-2.369106,1,1,1,12.0892,9.69542,3.016548,3.037952
120,0,-2.837377,0,.0004383,0,1.712312,0,.217044,21,1.773818,1,0,1,12.0892,9.69542,3.016548,3.037952
121,-.8657693,1.082152,.0475435,.1670095,1.263769,1.300185,.4275743,.5305717,50,1.708539,1,1,1,12.0892,9.69542,3.016548,3.037952
122,.9504414,-3.380838,.079575,.0001885,1.03133,1.50716,.4095684,.7886981,26,-.752623,1,1,1,12.0892,9.69542,3.016548,3.037952
123,4.286084,.1540381,.7567739,.0093369,1.744955,1.259062,.5251164,.7339323,51,.0072877,1,1,1,12.0892,9.69542,3.016548,3.037952
124,-3.771659,0,.0006149,0,2.173529,0,.6972084,0,43,2.499823,1,1,0,12.0892,9.69542,3.016548,3.037952
125,2.309958,0,.2114662,0,1.515736,0,.9341559,0,21,-.7393001,1,1,0,12.0892,9.69542,3.016548,3.037952
126,-.8728532,0,.0041737,0,2.285909,0,.1106632,0,44,-1.313928,1,1,0,12.0892,9.69542,3.016548,3.037952
127,-3.641295,0,.0005268,0,2.268338,0,.1601625,0,25,.0767465,1,1,0,12.0892,9.69542,3.016548,3.037952
128,-2.912539,-3.089531,.0014149,.0001902,.9934634,1.433391,.9119635,.4677448,22,-2.029355,1,1,1,12.0892,9.69542,3.016548,3.037952
129,-3.608665,3.247705,.0000129,.557982,3.144795,2.187471,.8499925,.6470205,49,1.904,1,1,1,12.0892,9.69542,3.016548,3.037952
130,2.7831,.737074,.2918873,.0965527,.9799215,1.062716,.2694858,.2935925,12,-1.927486,1,1,1,12.0892,9.69542,3.016548,3.037952
131,4.713441,3.984533,.5431195,.3666685,4.061109,2.039063,.9626096,.4996962,17,2.931667,1,1,1,12.0892,9.69542,3.016548,3.037952
132,.4216274,0,.0242457,0,1.853332,0,.1784681,0,36,-2.992592,1,1,0,12.0892,9.69542,3.016548,3.037952
133,-3.36596,0,.0005712,0,1.744955,0,.1874182,0,51,2.810902,1,1,0,12.0892,9.69542,3.016548,3.037952
134,1.908654,-4.515749,.1821834,.0007044,1.880046,.9985468,.0688118,.4683746,23,-2.691584,1,1,1,12.0892,9.69542,3.016548,3.037952
135,3.479589,0,.7817023,0,2.506603,0,.046616,0,27,2.274509,1,1,0,12.0892,9.69542,3.016548,3.037952
136,4.442177,0,.697711,0,1.537274,0,.0815229,0,53,.1880885,1,1,0,12.0892,9.69542,3.016548,3.037952
137,4.56963,-.8849009,.7433953,.0069122,2.007477,1.456939,.1654633,.8269901,28,2.000504,1,1,1,12.0892,9.69542,3.016548,3.037952
138,2.715732,-.9153817,.6570981,.0004777,1.853332,1.395871,.3491742,.4959185,36,1.784631,1,1,1,12.0892,9.69542,3.016548,3.037952
139,1.565862,0,.2093167,0,1.138756,0,.113109,0,42,-.9279299,1,1,0,12.0892,9.69542,3.016548,3.037952
140,-3.131552,-.7773643,.0000426,.0012647,1.677043,1.461716,.9215156,.2600579,1,-1.539232,1,1,1,12.0892,9.69542,3.016548,3.037952
141,2.056308,0,.2558977,0,1.66165,0,.9603816,0,18,-2.121603,1,1,0,12.0892,9.69542,3.016548,3.037952
142,0,0,0,0,0,0,0,0,45,2.428079,1,0,0,12.0892,9.69542,3.016548,3.037952
143,2.725284,0,.4389459,0,1.688325,0,.1103926,0,7,.3786385,1,1,0,12.0892,9.69542,3.016548,3.037952
144,4.256159,-1.122238,.0109282,.0022118,4.061109,2.039063,.1311257,.4354739,17,-1.344588,1,1,1,12.0892,9.69542,3.016548,3.037952
145,4.296949,0,.780454,0,1.880046,0,.945909,0,23,-.2066141,1,1,0,12.0892,9.69542,3.016548,3.037952
146,-4.122608,-.9333167,8.12e-06,.0079968,1.677043,1.461716,.7130018,.7990496,1,-.3989994,1,1,1,12.0892,9.69542,3.016548,3.037952
147,-1.047009,2.105505,.0038662,.3974733,1.853332,1.395871,.346287,.68648,36,1.349372,1,1,1,12.0892,9.69542,3.016548,3.037952
148,-1.371315,0,.0000848,0,3.144795,0,.8399936,0,49,-1.367754,1,1,0,12.0892,9.69542,3.016548,3.037952
149,2.634938,0,.4118805,0,1.263769,0,.6923156,0,50,-.5890949,1,1,0,12.0892,9.69542,3.016548,3.037952
150,1.405106,0,.1552949,0,1.543918,0,.1280671,0,33,-1.133136,1,1,0,12.0892,9.69542,3.016548,3.037952
151,4.853115,1.661782,.555101,.1487167,1.941485,1.407789,.3694979,.8083709,5,-1.341299,1,1,1,12.0892,9.69542,3.016548,3.037952
152,.5497114,-2.866912,.157933,.0019182,1.226078,.7335377,.63181,.2320871,60,-2.936115,1,1,1,12.0892,9.69542,3.016548,3.037952
153,0,0,0,0,0,0,0,0,30,-2.723013,1,0,0,12.0892,9.69542,3.016548,3.037952
154,2.720448,3.568085,.2428755,.2685064,1.03133,1.50716,.0400003,.5797349,26,-2.644984,1,1,1,12.0892,9.69542,3.016548,3.037952
155,-2.324601,0,.0028846,0,2.285909,0,.0573645,0,44,1.730779,1,1,0,12.0892,9.69542,3.016548,3.037952
156,0,-.5284324,0,.0038464,0,2.460344,0,.9902197,30,.4360188,1,0,1,12.0892,9.69542,3.016548,3.037952
157,3.062517,0,.5848765,0,1.581192,0,.215462,0,35,.784422,1,1,0,12.0892,9.69542,3.016548,3.037952
158,-3.646886,0,.001362,0,1.541668,0,.1340202,0,10,2.358809,1,1,0,12.0892,9.69542,3.016548,3.037952
159,-2.805722,1.488281,.0001053,.293,2.834084,2.615286,.0273284,.8854025,11,2.747342,1,1,1,12.0892,9.69542,3.016548,3.037952
160,4.132942,-.2542635,.7115341,.0007516,2.834084,2.615286,.8864214,.7157645,11,1.82371,1,1,1,12.0892,9.69542,3.016548,3.037952
161,2.887786,-4.867801,.5239947,2.80e-06,2.175318,3.186317,.5860136,.2117226,6,2.216661,1,1,1,12.0892,9.69542,3.016548,3.037952
162,-4.32701,0,.0007038,0,1.232656,0,.9721454,0,34,-.5468508,1,1,0,12.0892,9.69542,3.016548,3.037952
163,-1.285887,0,.0971607,0,2.903636,0,.075269,0,57,2.999548,1,1,0,12.0892,9.69542,3.016548,3.037952
164,3.683583,0,.4479122,0,2.040111,0,.1380018,0,29,-1.779579,1,1,0,12.0892,9.69542,3.016548,3.037952
165,4.709596,0,.8100119,0,3.689959,0,.9481879,0,38,2.523536,1,1,0,12.0892,9.69542,3.016548,3.037952
166,.4368813,0,.2407293,0,2.040111,0,.518634,0,29,2.786619,1,1,0,12.0892,9.69542,3.016548,3.037952
167,-2.181964,0,.1159272,0,4.061109,0,.182614,0,17,2.994422,1,1,0,12.0892,9.69542,3.016548,3.037952
168,-.915922,.0039153,.0097026,.0220635,1.208332,1.263355,.0193125,.405288,55,-2.365636,1,1,1,12.0892,9.69542,3.016548,3.037952
169,2.86669,0,.4993948,0,1.29275,0,.1914989,0,15,-.437565,1,1,0,12.0892,9.69542,3.016548,3.037952
170,-4.220294,1.510853,.0000462,.3460537,2.285909,1.539772,.5185127,.3300219,44,2.063603,1,1,1,12.0892,9.69542,3.016548,3.037952
171,0,0,0,0,0,0,0,0,17,-1.903951,1,0,0,12.0892,9.69542,3.016548,3.037952
172,-.6487236,0,.0080083,0,1.29275,0,.5004034,0,15,1.345825,1,1,0,12.0892,9.69542,3.016548,3.037952
173,.850033,0,.1294969,0,1.537274,0,.455236,0,53,-2.039536,1,1,0,12.0892,9.69542,3.016548,3.037952
174,3.731779,0,.6139391,0,2.285909,0,.9638922,0,44,1.680897,1,1,0,12.0892,9.69542,3.016548,3.037952
175,1.932209,-4.531088,.3019888,.0000777,1.880046,.9985468,.4708565,.6542537,23,2.069836,1,1,1,12.0892,9.69542,3.016548,3.037952
176,3.862465,0,.4697861,0,1.677043,0,.7321741,0,1,-.7878691,1,1,0,12.0892,9.69542,3.016548,3.037952
177,1.12104,0,.3928711,0,3.144795,0,.3602411,0,49,2.936164,1,1,0,12.0892,9.69542,3.016548,3.037952
178,2.279274,0,.3134875,0,3.689959,0,.4112377,0,38,2.816038,1,1,0,12.0892,9.69542,3.016548,3.037952
179,-1.321186,-3.591088,.0333415,.0001691,1.29275,1.396256,.840829,.9455832,15,2.810623,1,1,1,12.0892,9.69542,3.016548,3.037952
180,-2.357553,0,.0002021,0,1.515736,0,.3216642,0,21,-1.364416,1,1,0,12.0892,9.69542,3.016548,3.037952
181,0,0,0,0,0,0,0,0,26,-1.264544,1,0,0,12.0892,9.69542,3.016548,3.037952
182,0,4.400258,0,.7324017,0,2.460344,0,.4307189,30,1.520562,1,0,1,12.0892,9.69542,3.016548,3.037952
183,4.063686,4.731621,.1686605,.6420311,2.506603,2.61161,.8686479,.9656652,27,1.590536,1,1,1,12.0892,9.69542,3.016548,3.037952
184,.8217975,0,.0174897,0,1.761158,0,.5597209,0,37,-.961311,1,1,0,12.0892,9.69542,3.016548,3.037952
185,3.063097,1.967553,.4389919,.0586914,1.389676,1.628214,.0770882,.4491081,56,-2.196093,1,1,1,12.0892,9.69542,3.016548,3.037952
186,3.382971,0,.5073462,0,1.744955,0,.1756437,0,51,1.866486,1,1,0,12.0892,9.69542,3.016548,3.037952
187,4.1845,0,.2132085,0,2.268338,0,.5891948,0,25,-2.373647,1,1,0,12.0892,9.69542,3.016548,3.037952
188,0,0,0,0,0,0,0,0,48,.8607315,1,0,0,12.0892,9.69542,3.016548,3.037952
189,-4.771453,-2.529436,3.64e-06,.002805,2.243272,.9864069,.4798182,.344385,4,1.702537,1,1,1,12.0892,9.69542,3.016548,3.037952
190,0,0,0,0,0,0,0,0,51,-.9600493,1,0,0,12.0892,9.69542,3.016548,3.037952
191,4.788329,0,.7902882,0,3.215047,0,.5944863,0,40,.8463991,1,1,0,12.0892,9.69542,3.016548,3.037952
192,0,-1.51355,0,.0010507,0,2.187471,0,.8395341,49,-2.84174,1,0,1,12.0892,9.69542,3.016548,3.037952
193,-4.675953,0,.0000699,0,1.232656,0,.9666222,0,34,-1.412977,1,1,0,12.0892,9.69542,3.016548,3.037952
194,-3.439354,-.9221594,.0000521,.0005613,2.825035,2.460344,.2817417,.5750527,30,.1693237,1,1,1,12.0892,9.69542,3.016548,3.037952
195,1.162839,-1.602528,.3335661,.018638,2.354135,1.627568,.3865592,.2923613,32,2.736757,1,1,1,12.0892,9.69542,3.016548,3.037952
196,0,0,0,0,0,0,0,0,4,.0216195,1,0,0,12.0892,9.69542,3.016548,3.037952
197,-1.723472,0,.0003285,0,2.825035,0,.7540821,0,30,-1.922137,1,1,0,12.0892,9.69542,3.016548,3.037952
198,2.846455,-4.320275,.6556595,5.58e-06,1.541668,1.505718,.139736,.5259187,10,1.924141,1,1,1,12.0892,9.69542,3.016548,3.037952
199,1.762517,0,.5590612,0,1.543918,0,.4523814,0,33,2.49119,1,1,0,12.0892,9.69542,3.016548,3.037952
200,.0131285,1.184532,.0090676,.264862,1.561964,1.385112,.0689218,.7004982,39,-1.712542,1,1,1,12.0892,9.69542,3.016548,3.037952
201,2.607862,0,.2634532,0,1.03133,0,.3371142,0,26,-1.935751,1,1,0,12.0892,9.69542,3.016548,3.037952
202,0,0,0,0,0,0,0,0,30,.8629291,1,0,0,12.0892,9.69542,3.016548,3.037952
203,-1.546127,0,.0001066,0,3.142282,0,.5872867,0,54,-1.793163,1,1,0,12.0892,9.69542,3.016548,3.037952
204,4.625164,0,.732354,0,1.941485,0,.788268,0,5,-2.249678,1,1,0,12.0892,9.69542,3.016548,3.037952
205,-4.930052,1.822015,.0001043,.1546269,1.408412,1.268405,.2770487,.3162862,19,-.5576681,1,1,1,12.0892,9.69542,3.016548,3.037952
206,2.69108,-3.79348,.6880471,.0000525,3.515329,1.569901,.4542406,.5385222,48,2.641689,1,1,1,12.0892,9.69542,3.016548,3.037952
