market,zone,inc_mu,inc_sig,firm,x,share,p,mc,active,micro1,micro2
23,36,.766179,1,2,-.9833199,.0180859,1.395871,.2672451,1,9.69542,3.037952
24,12,2.997753,1,1,0,0,0,0,0,12.0892,3.016548
24,12,2.997753,1,2,0,0,0,0,0,9.69542,3.037952
25,54,.9767939,1,1,-2.646527,.0004818,3.142282,.9434121,1,12.0892,3.016548
25,54,.9767939,1,2,0,0,0,0,0,9.69542,3.037952
26,19,-1.067301,1,1,0,0,0,0,0,12.0892,3.016548
26,19,-1.067301,1,2,.0359313,.0213721,1.268405,.6023836,1,9.69542,3.037952
27,36,2.240145,1,1,-2.55948,.0015321,1.853332,.616281,1,12.0892,3.016548
27,36,2.240145,1,2,-3.234962,.0002842,1.395871,.6892086,1,9.69542,3.037952
28,52,1.724149,1,1,-3.224863,.0002241,1.813945,.6564527,1,12.0892,3.016548
28,52,1.724149,1,2,-4.382112,.0000429,1.599249,.535659,1,9.69542,3.037952
29,26,-2.582565,1,1,0,0,0,0,0,12.0892,3.016548
29,26,-2.582565,1,2,0,0,0,0,0,9.69542,3.037952
30,11,-1.316094,1,1,-3.315657,.0000458,2.834084,.8994656,1,12.0892,3.016548
30,11,-1.316094,1,2,0,0,0,0,0,9.69542,3.037952
31,27,.0810585,1,1,-1.48979,.0114953,2.506603,.3794661,1,12.0892,3.016548
31,27,.0810585,1,2,0,0,0,0,0,9.69542,3.037952
32,48,2.243574,1,1,0,0,0,0,0,12.0892,3.016548
32,48,2.243574,1,2,0,0,0,0,0,9.69542,3.037952
33,7,1.292325,1,1,.8553312,.0029436,1.688325,.9509271,1,12.0892,3.016548
33,7,1.292325,1,2,4.6251,.6588093,2.431831,.7159587,1,9.69542,3.037952
34,46,2.366449,1,1,-4.74235,.0000817,1.503581,.3620194,1,12.0892,3.016548
34,46,2.366449,1,2,0,0,0,0,0,9.69542,3.037952
35,8,.7105106,1,1,-.4173068,.0051764,2.162823,.7157792,1,12.0892,3.016548
35,8,.7105106,1,2,0,0,0,0,0,9.69542,3.037952
36,26,1.188949,1,1,.2247928,.2494505,1.03133,.6792048,1,12.0892,3.016548
36,26,1.188949,1,2,0,0,0,0,0,9.69542,3.037952
37,11,2.821939,1,1,.9221339,.2239865,2.834084,.221998,1,12.0892,3.016548
37,11,2.821939,1,2,-3.835114,.0000259,2.615286,.2735764,1,9.69542,3.037952
38,28,.8594552,1,1,-.9775671,.0012874,2.007477,.6945047,1,12.0892,3.016548
38,28,.8594552,1,2,-2.359745,.0015262,1.456939,.7246118,1,9.69542,3.037952
39,31,.1850367,1,1,2.920767,.133856,1.880693,.2460049,1,12.0892,3.016548
39,31,.1850367,1,2,0,0,0,0,0,9.69542,3.037952
40,47,-.529774,1,1,3.248923,.2034326,1.318672,.3079315,1,12.0892,3.016548
40,47,-.529774,1,2,3.401795,.5591437,2.097891,.4486939,1,9.69542,3.037952
41,15,2.030148,1,1,-.3694102,.0234653,1.29275,.0603655,1,12.0892,3.016548
41,15,2.030148,1,2,0,0,0,0,0,9.69542,3.037952
42,25,1.270848,1,1,0,0,0,0,0,12.0892,3.016548
42,25,1.270848,1,2,0,0,0,0,0,9.69542,3.037952
43,29,1.331765,1,1,-2.509092,.0003774,2.040111,.1337236,1,12.0892,3.016548
43,29,1.331765,1,2,0,0,0,0,0,9.69542,3.037952
44,39,-.5849521,1,1,4.056682,.6144053,1.561964,.3321531,1,12.0892,3.016548
44,39,-.5849521,1,2,-4.988859,.0000232,1.385112,.7257969,1,9.69542,3.037952
45,27,-2.212032,1,1,0,0,0,0,0,12.0892,3.016548
45,27,-2.212032,1,2,.5364084,.0060006,2.61161,.2310613,1,9.69542,3.037952
46,22,1.295176,1,1,-.5544665,.0853994,.9934634,.3437603,1,12.0892,3.016548
46,22,1.295176,1,2,0,0,0,0,0,9.69542,3.037952
47,59,-.5443093,1,1,0,0,0,0,0,12.0892,3.016548
47,59,-.5443093,1,2,0,0,0,0,0,9.69542,3.037952
48,1,-.1868762,1,1,-.0791208,.0086945,1.677043,.6974601,1,12.0892,3.016548
48,1,-.1868762,1,2,4.620287,.528811,1.461716,.3723353,1,9.69542,3.037952
49,27,.98207,1,1,.3445348,.0129887,2.506603,.4240403,1,12.0892,3.016548
49,27,.98207,1,2,0,0,0,0,0,9.69542,3.037952
50,54,-.957081,1,1,0,0,0,0,0,12.0892,3.016548
50,54,-.957081,1,2,0,0,0,0,0,9.69542,3.037952
51,13,1.510817,1,1,2.395424,.2079912,2.41718,.1903482,1,12.0892,3.016548
51,13,1.510817,1,2,1.246375,.1712171,1.225348,.3675959,1,9.69542,3.037952
52,53,1.866255,1,1,0,0,0,0,0,12.0892,3.016548
52,53,1.866255,1,2,.8561147,.0232336,1.165532,.475501,1,9.69542,3.037952
53,59,-1.560386,1,1,-4.251197,1.59e-06,3.411686,.0096091,1,12.0892,3.016548
53,59,-1.560386,1,2,0,0,0,0,0,9.69542,3.037952
54,56,-2.483282,1,1,-.3840245,.0082626,1.389676,.9778706,1,12.0892,3.016548
54,56,-2.483282,1,2,0,0,0,0,0,9.69542,3.037952
55,4,-2.052464,1,1,4.638495,.6142856,2.243272,.9402824,1,12.0892,3.016548
55,4,-2.052464,1,2,0,0,0,0,0,9.69542,3.037952
56,48,2.50382,1,1,-4.896783,.0028939,3.515329,.7755325,1,12.0892,3.016548
56,48,2.50382,1,2,0,0,0,0,0,9.69542,3.037952
57,4,.9728996,1,1,0,0,0,0,0,12.0892,3.016548
57,4,.9728996,1,2,0,0,0,0,0,9.69542,3.037952
58,35,-2.267296,1,1,-.8382878,.0012287,1.581192,.9093469,1,12.0892,3.016548
58,35,-2.267296,1,2,0,0,0,0,0,9.69542,3.037952
59,36,-1.367463,1,1,3.46526,.0627196,1.853332,.7009716,1,12.0892,3.016548
59,36,-1.367463,1,2,2.823908,.0810132,1.395871,.4042339,1,9.69542,3.037952
60,52,-.4773618,1,1,3.619182,.7171579,1.813945,.2041531,1,12.0892,3.016548
60,52,-.4773618,1,2,-1.065464,.0153011,1.599249,.9597172,1,9.69542,3.037952
61,59,2.439915,1,1,4.266727,.7062272,3.411686,.2610565,1,12.0892,3.016548
61,59,2.439915,1,2,0,0,0,0,0,9.69542,3.037952
62,41,-.93621,1,1,0,0,0,0,0,12.0892,3.016548
62,41,-.93621,1,2,0,0,0,0,0,9.69542,3.037952
63,25,-.2005722,1,1,-4.585031,.0000276,2.268338,.8689814,1,12.0892,3.016548
63,25,-.2005722,1,2,-2.511609,.0013935,2.493777,.8060761,1,9.69542,3.037952
64,53,1.864768,1,1,0,0,0,0,0,12.0892,3.016548
64,53,1.864768,1,2,0,0,0,0,0,9.69542,3.037952
65,19,-.6788077,1,1,-3.758179,.000168,1.408412,.503589,1,12.0892,3.016548
65,19,-.6788077,1,2,1.265965,.2377521,1.268405,.5588838,1,9.69542,3.037952
66,32,-.2306074,1,1,0,0,0,0,0,12.0892,3.016548
66,32,-.2306074,1,2,0,0,0,0,0,9.69542,3.037952
67,41,.4284163,1,1,3.332126,.410122,2.049694,.1408598,1,12.0892,3.016548
67,41,.4284163,1,2,0,0,0,0,0,9.69542,3.037952
68,25,2.464677,1,1,0,0,0,0,0,12.0892,3.016548
68,25,2.464677,1,2,3.724639,.6100382,2.493777,.4595833,1,9.69542,3.037952
69,30,2.035033,1,1,4.849133,.7204876,2.825035,.5786589,1,12.0892,3.016548
69,30,2.035033,1,2,0,0,0,0,0,9.69542,3.037952
70,10,.2542419,1,1,2.828544,.2216123,1.541668,.819915,1,12.0892,3.016548
70,10,.2542419,1,2,-1.370996,.0014356,1.505718,.8646701,1,9.69542,3.037952
71,46,-1.793861,1,1,-1.819748,.0097837,1.503581,.4578147,1,12.0892,3.016548
71,46,-1.793861,1,2,-1.592372,.0011507,2.223533,.6470879,1,9.69542,3.037952
72,47,2.201854,1,1,3.282067,.2585731,1.318672,.120472,1,12.0892,3.016548
72,47,2.201854,1,2,3.803781,.5897821,2.097891,.9476652,1,9.69542,3.037952
73,47,1.620704,1,1,3.246548,.6276667,1.318672,.0958603,1,12.0892,3.016548
73,47,1.620704,1,2,0,0,0,0,0,9.69542,3.037952
74,24,-1.315898,1,1,3.961992,.5732865,1.664243,.5492482,1,12.0892,3.016548
74,24,-1.315898,1,2,2.328261,.1011346,1.61873,.9043995,1,9.69542,3.037952
75,3,.1004098,1,1,0,0,0,0,0,12.0892,3.016548
75,3,.1004098,1,2,0,0,0,0,0,9.69542,3.037952
76,59,-2.584468,1,1,0,0,0,0,0,12.0892,3.016548
76,59,-2.584468,1,2,-3.605163,.0000795,1.624105,.2237688,1,9.69542,3.037952
77,13,-1.081462,1,1,4.850793,.8508451,2.41718,.5885029,1,12.0892,3.016548
77,13,-1.081462,1,2,-4.76586,4.57e-06,1.225348,.2492115,1,9.69542,3.037952
78,42,-.040255,1,1,-2.350875,.004134,1.138756,.3566014,1,12.0892,3.016548
78,42,-.040255,1,2,0,0,0,0,0,9.69542,3.037952
79,38,-1.16689,1,1,0,0,0,0,0,12.0892,3.016548
79,38,-1.16689,1,2,2.639657,.2444624,1.913254,.3435378,1,9.69542,3.037952
80,20,1.369278,1,1,.2880812,.0017168,3.04175,.6440281,1,12.0892,3.016548
80,20,1.369278,1,2,.5028608,.0819478,1.577091,.6348565,1,9.69542,3.037952
81,43,2.672599,1,1,2.227571,.3830367,2.173529,.2472447,1,12.0892,3.016548
81,43,2.672599,1,2,0,0,0,0,0,9.69542,3.037952
82,50,-.5174034,1,1,-1.310227,.0008102,1.263769,.1258837,1,12.0892,3.016548
82,50,-.5174034,1,2,0,0,0,0,0,9.69542,3.037952
83,46,-1.435484,1,1,-4.847871,9.99e-06,1.503581,.8286029,1,12.0892,3.016548
83,46,-1.435484,1,2,3.001806,.2859253,2.223533,.6254953,1,9.69542,3.037952
84,39,-.1977053,1,1,3.669697,.6308952,1.561964,.3375537,1,12.0892,3.016548
84,39,-.1977053,1,2,0,0,0,0,0,9.69542,3.037952
85,19,-1.106691,1,1,.356245,.0178923,1.408412,.8349828,1,12.0892,3.016548
85,19,-1.106691,1,2,2.529117,.3318178,1.268405,.8099458,1,9.69542,3.037952
86,25,2.883946,1,1,3.201854,.7246879,2.268338,.6713324,1,12.0892,3.016548
86,25,2.883946,1,2,-2.53799,.000057,2.493777,.6276264,1,9.69542,3.037952
87,11,.4971501,1,1,-3.81663,7.81e-06,2.834084,.4930787,1,12.0892,3.016548
87,11,.4971501,1,2,0,0,0,0,0,9.69542,3.037952
88,48,-.5674206,1,1,.9598459,.0016816,3.515329,.88703,1,12.0892,3.016548
88,48,-.5674206,1,2,0,0,0,0,0,9.69542,3.037952
89,50,-1.513132,1,1,0,0,0,0,0,12.0892,3.016548
89,50,-1.513132,1,2,0,0,0,0,0,9.69542,3.037952
90,4,-2.28463,1,1,0,0,0,0,0,12.0892,3.016548
90,4,-2.28463,1,2,0,0,0,0,0,9.69542,3.037952
91,53,1.42046,1,1,-4.407274,.0001555,1.537274,.2908095,1,12.0892,3.016548
91,53,1.42046,1,2,0,0,0,0,0,9.69542,3.037952
92,23,-.3115201,1,1,-1.449674,.0005465,1.880046,.2878847,1,12.0892,3.016548
92,23,-.3115201,1,2,0,0,0,0,0,9.69542,3.037952
93,9,-2.355925,1,1,-4.796876,.0001282,1.387304,.9181257,1,12.0892,3.016548
93,9,-2.355925,1,2,0,0,0,0,0,9.69542,3.037952
94,8,1.485654,1,1,4.762061,.7252618,2.162823,.0034772,1,12.0892,3.016548
94,8,1.485654,1,2,1.662742,.1670668,.9466388,.2186854,1,9.69542,3.037952
95,33,1.600385,1,1,0,0,0,0,0,12.0892,3.016548
95,33,1.600385,1,2,0,0,0,0,0,9.69542,3.037952
96,33,1.270745,1,1,0,0,0,0,0,12.0892,3.016548
96,33,1.270745,1,2,-2.152399,.0020128,1.757742,.3196416,1,9.69542,3.037952
97,27,1.906789,1,1,2.150991,.195611,2.506603,.342013,1,12.0892,3.016548
97,27,1.906789,1,2,.5092574,.0066344,2.61161,.700253,1,9.69542,3.037952
98,31,1.116228,1,1,-4.547512,.0000201,1.880693,.9848703,1,12.0892,3.016548
98,31,1.116228,1,2,0,0,0,0,0,9.69542,3.037952
99,15,.9468093,1,1,-1.613377,.0052759,1.29275,.1308243,1,12.0892,3.016548
99,15,.9468093,1,2,3.029886,.1232306,1.396256,.7599918,1,9.69542,3.037952
100,38,1.348959,1,1,0,0,0,0,0,12.0892,3.016548
100,38,1.348959,1,2,-2.079155,.0043403,1.913254,.8130624,1,9.69542,3.037952
101,54,2.237831,1,1,-1.228301,.033851,3.142282,.8971702,1,12.0892,3.016548
101,54,2.237831,1,2,-2.417929,.0021435,1.199866,.2989959,1,9.69542,3.037952
102,59,-.166901,1,1,-4.776455,4.56e-07,3.411686,.8535267,1,12.0892,3.016548
102,59,-.166901,1,2,2.653069,.4962194,1.624105,.5970567,1,9.69542,3.037952
103,44,2.344268,1,1,2.93063,.3325245,2.285909,.6134024,1,12.0892,3.016548
103,44,2.344268,1,2,0,0,0,0,0,9.69542,3.037952
104,17,-1.230257,1,1,-3.397288,8.92e-07,4.061109,.981049,1,12.0892,3.016548
104,17,-1.230257,1,2,3.029836,.2423811,2.039063,.2424296,1,9.69542,3.037952
105,34,-2.519531,1,1,-3.180541,.0002911,1.232656,.081503,1,12.0892,3.016548
105,34,-2.519531,1,2,0,0,0,0,0,9.69542,3.037952
106,33,.8016968,1,1,-2.496203,.0005031,1.543918,.1369441,1,12.0892,3.016548
106,33,.8016968,1,2,0,0,0,0,0,9.69542,3.037952
107,56,2.029127,1,1,.2909164,.0682291,1.389676,.9396303,1,12.0892,3.016548
107,56,2.029127,1,2,0,0,0,0,0,9.69542,3.037952
108,57,2.183697,1,1,-4.606597,.0000299,2.903636,.3293861,1,12.0892,3.016548
108,57,2.183697,1,2,-.8442622,.0364959,1.307828,.6895316,1,9.69542,3.037952
109,13,.0855416,1,1,0,0,0,0,0,12.0892,3.016548
109,13,.0855416,1,2,1.102065,.4811817,1.225348,.2763015,1,9.69542,3.037952
110,24,-2.847141,1,1,-.6314975,.0098215,1.664243,.9450042,1,12.0892,3.016548
110,24,-2.847141,1,2,3.774621,.3675226,1.61873,.896437,1,9.69542,3.037952
111,49,-2.314774,1,1,-2.354655,.0000203,3.144795,.4182364,1,12.0892,3.016548
111,49,-2.314774,1,2,0,0,0,0,0,9.69542,3.037952
112,13,-.3526178,1,1,-3.439047,.0002332,2.41718,.669108,1,12.0892,3.016548
112,13,-.3526178,1,2,0,0,0,0,0,9.69542,3.037952
113,19,-2.227338,1,1,1.743873,.4422155,1.408412,.6540788,1,12.0892,3.016548
113,19,-2.227338,1,2,0,0,0,0,0,9.69542,3.037952
114,26,-.624403,1,1,-4.355536,6.52e-06,1.03133,.2163008,1,12.0892,3.016548
114,26,-.624403,1,2,2.521898,.4787221,1.50716,.7909534,1,9.69542,3.037952
115,55,1.036629,1,1,0,0,0,0,0,12.0892,3.016548
115,55,1.036629,1,2,0,0,0,0,0,9.69542,3.037952
116,30,1.187501,1,1,0,0,0,0,0,12.0892,3.016548
116,30,1.187501,1,2,1.958393,.0382457,2.460344,.7121521,1,9.69542,3.037952
117,27,-2.524028,1,1,.8482805,.0013915,2.506603,.0817987,1,12.0892,3.016548
117,27,-2.524028,1,2,-3.70452,.0000696,2.61161,.6127809,1,9.69542,3.037952
118,46,-1.505275,1,1,.5385087,.0245543,1.503581,.4345147,1,12.0892,3.016548
118,46,-1.505275,1,2,2.460922,.0950233,2.223533,.3422448,1,9.69542,3.037952
119,14,-2.369106,1,1,4.249911,.5572106,1.208681,.0753275,1,12.0892,3.016548
119,14,-2.369106,1,2,.6585694,.1180935,.986953,.4182131,1,9.69542,3.037952
120,21,1.773818,1,1,0,0,0,0,0,12.0892,3.016548
120,21,1.773818,1,2,-2.837377,.0004383,1.712312,.217044,1,9.69542,3.037952
121,50,1.708539,1,1,-.8657693,.0475435,1.263769,.4275743,1,12.0892,3.016548
121,50,1.708539,1,2,1.082152,.1670095,1.300185,.5305717,1,9.69542,3.037952
122,26,-.752623,1,1,.9504414,.079575,1.03133,.4095684,1,12.0892,3.016548
122,26,-.752623,1,2,-3.380838,.0001885,1.50716,.7886981,1,9.69542,3.037952
123,51,.0072877,1,1,4.286084,.7567739,1.744955,.5251164,1,12.0892,3.016548
123,51,.0072877,1,2,.1540381,.0093369,1.259062,.7339323,1,9.69542,3.037952
124,43,2.499823,1,1,-3.771659,.0006149,2.173529,.6972084,1,12.0892,3.016548
124,43,2.499823,1,2,0,0,0,0,0,9.69542,3.037952
125,21,-.7393001,1,1,2.309958,.2114662,1.515736,.9341559,1,12.0892,3.016548
125,21,-.7393001,1,2,0,0,0,0,0,9.69542,3.037952
126,44,-1.313928,1,1,-.8728532,.0041737,2.285909,.1106632,1,12.0892,3.016548
126,44,-1.313928,1,2,0,0,0,0,0,9.69542,3.037952
127,25,.0767465,1,1,-3.641295,.0005268,2.268338,.1601625,1,12.0892,3.016548
127,25,.0767465,1,2,0,0,0,0,0,9.69542,3.037952
128,22,-2.029355,1,1,-2.912539,.0014149,.9934634,.9119635,1,12.0892,3.016548
128,22,-2.029355,1,2,-3.089531,.0001902,1.433391,.4677448,1,9.69542,3.037952
129,49,1.904,1,1,-3.608665,.0000129,3.144795,.8499925,1,12.0892,3.016548
129,49,1.904,1,2,3.247705,.557982,2.187471,.6470205,1,9.69542,3.037952
130,12,-1.927486,1,1,2.7831,.2918873,.9799215,.2694858,1,12.0892,3.016548
130,12,-1.927486,1,2,.737074,.0965527,1.062716,.2935925,1,9.69542,3.037952
131,17,2.931667,1,1,4.713441,.5431195,4.061109,.9626096,1,12.0892,3.016548
131,17,2.931667,1,2,3.984533,.3666685,2.039063,.4996962,1,9.69542,3.037952
132,36,-2.992592,1,1,.4216274,.0242457,1.853332,.1784681,1,12.0892,3.016548
132,36,-2.992592,1,2,0,0,0,0,0,9.69542,3.037952
133,51,2.810902,1,1,-3.36596,.0005712,1.744955,.1874182,1,12.0892,3.016548
133,51,2.810902,1,2,0,0,0,0,0,9.69542,3.037952
134,23,-2.691584,1,1,1.908654,.1821834,1.880046,.0688118,1,12.0892,3.016548
134,23,-2.691584,1,2,-4.515749,.0007044,.9985468,.4683746,1,9.69542,3.037952
135,27,2.274509,1,1,3.479589,.7817023,2.506603,.046616,1,12.0892,3.016548
135,27,2.274509,1,2,0,0,0,0,0,9.69542,3.037952
136,53,.1880885,1,1,4.442177,.697711,1.537274,.0815229,1,12.0892,3.016548
136,53,.1880885,1,2,0,0,0,0,0,9.69542,3.037952
137,28,2.000504,1,1,4.56963,.7433953,2.007477,.1654633,1,12.0892,3.016548
137,28,2.000504,1,2,-.8849009,.0069122,1.456939,.8269901,1,9.69542,3.037952
138,36,1.784631,1,1,2.715732,.6570981,1.853332,.3491742,1,12.0892,3.016548
138,36,1.784631,1,2,-.9153817,.0004777,1.395871,.4959185,1,9.69542,3.037952
139,42,-.9279299,1,1,1.565862,.2093167,1.138756,.113109,1,12.0892,3.016548
139,42,-.9279299,1,2,0,0,0,0,0,9.69542,3.037952
140,1,-1.539232,1,1,-3.131552,.0000426,1.677043,.9215156,1,12.0892,3.016548
140,1,-1.539232,1,2,-.7773643,.0012647,1.461716,.2600579,1,9.69542,3.037952
141,18,-2.121603,1,1,2.056308,.2558977,1.66165,.9603816,1,12.0892,3.016548
141,18,-2.121603,1,2,0,0,0,0,0,9.69542,3.037952
142,45,2.428079,1,1,0,0,0,0,0,12.0892,3.016548
142,45,2.428079,1,2,0,0,0,0,0,9.69542,3.037952
143,7,.3786385,1,1,2.725284,.4389459,1.688325,.1103926,1,12.0892,3.016548
143,7,.3786385,1,2,0,0,0,0,0,9.69542,3.037952
144,17,-1.344588,1,1,4.256159,.0109282,4.061109,.1311257,1,12.0892,3.016548
144,17,-1.344588,1,2,-1.122238,.0022118,2.039063,.4354739,1,9.69542,3.037952
145,23,-.2066141,1,1,4.296949,.780454,1.880046,.945909,1,12.0892,3.016548
145,23,-.2066141,1,2,0,0,0,0,0,9.69542,3.037952
146,1,-.3989994,1,1,-4.122608,8.12e-06,1.677043,.7130018,1,12.0892,3.016548
146,1,-.3989994,1,2,-.9333167,.0079968,1.461716,.7990496,1,9.69542,3.037952
147,36,1.349372,1,1,-1.047009,.0038662,1.853332,.346287,1,12.0892,3.016548
147,36,1.349372,1,2,2.105505,.3974733,1.395871,.68648,1,9.69542,3.037952
148,49,-1.367754,1,1,-1.371315,.0000848,3.144795,.8399936,1,12.0892,3.016548
148,49,-1.367754,1,2,0,0,0,0,0,9.69542,3.037952
149,50,-.5890949,1,1,2.634938,.4118805,1.263769,.6923156,1,12.0892,3.016548
149,50,-.5890949,1,2,0,0,0,0,0,9.69542,3.037952
150,33,-1.133136,1,1,1.405106,.1552949,1.543918,.1280671,1,12.0892,3.016548
150,33,-1.133136,1,2,0,0,0,0,0,9.69542,3.037952
151,5,-1.341299,1,1,4.853115,.555101,1.941485,.3694979,1,12.0892,3.016548
151,5,-1.341299,1,2,1.661782,.1487167,1.407789,.8083709,1,9.69542,3.037952
152,60,-2.936115,1,1,.5497114,.157933,1.226078,.63181,1,12.0892,3.016548
152,60,-2.936115,1,2,-2.866912,.0019182,.7335377,.2320871,1,9.69542,3.037952
153,30,-2.723013,1,1,0,0,0,0,0,12.0892,3.016548
153,30,-2.723013,1,2,0,0,0,0,0,9.69542,3.037952
154,26,-2.644984,1,1,2.720448,.2428755,1.03133,.0400003,1,12.0892,3.016548
154,26,-2.644984,1,2,3.568085,.2685064,1.50716,.5797349,1,9.69542,3.037952
155,44,1.730779,1,1,-2.324601,.0028846,2.285909,.0573645,1,12.0892,3.016548
155,44,1.730779,1,2,0,0,0,0,0,9.69542,3.037952
156,30,.4360188,1,1,0,0,0,0,0,12.0892,3.016548
156,30,.4360188,1,2,-.5284324,.0038464,2.460344,.9902197,1,9.69542,3.037952
157,35,.784422,1,1,3.062517,.5848765,1.581192,.215462,1,12.0892,3.016548
157,35,.784422,1,2,0,0,0,0,0,9.69542,3.037952
158,10,2.358809,1,1,-3.646886,.001362,1.541668,.1340202,1,12.0892,3.016548
158,10,2.358809,1,2,0,0,0,0,0,9.69542,3.037952
159,11,2.747342,1,1,-2.805722,.0001053,2.834084,.0273284,1,12.0892,3.016548
159,11,2.747342,1,2,1.488281,.293,2.615286,.8854025,1,9.69542,3.037952
160,11,1.82371,1,1,4.132942,.7115341,2.834084,.8864214,1,12.0892,3.016548
160,11,1.82371,1,2,-.2542635,.0007516,2.615286,.7157645,1,9.69542,3.037952
161,6,2.216661,1,1,2.887786,.5239947,2.175318,.5860136,1,12.0892,3.016548
161,6,2.216661,1,2,-4.867801,2.80e-06,3.186317,.2117226,1,9.69542,3.037952
162,34,-.5468508,1,1,-4.32701,.0007038,1.232656,.9721454,1,12.0892,3.016548
162,34,-.5468508,1,2,0,0,0,0,0,9.69542,3.037952
163,57,2.999548,1,1,-1.285887,.0971607,2.903636,.075269,1,12.0892,3.016548
163,57,2.999548,1,2,0,0,0,0,0,9.69542,3.037952
164,29,-1.779579,1,1,3.683583,.4479122,2.040111,.1380018,1,12.0892,3.016548
164,29,-1.779579,1,2,0,0,0,0,0,9.69542,3.037952
165,38,2.523536,1,1,4.709596,.8100119,3.689959,.9481879,1,12.0892,3.016548
165,38,2.523536,1,2,0,0,0,0,0,9.69542,3.037952
166,29,2.786619,1,1,.4368813,.2407293,2.040111,.518634,1,12.0892,3.016548
166,29,2.786619,1,2,0,0,0,0,0,9.69542,3.037952
167,17,2.994422,1,1,-2.181964,.1159272,4.061109,.182614,1,12.0892,3.016548
167,17,2.994422,1,2,0,0,0,0,0,9.69542,3.037952
168,55,-2.365636,1,1,-.915922,.0097026,1.208332,.0193125,1,12.0892,3.016548
168,55,-2.365636,1,2,.0039153,.0220635,1.263355,.405288,1,9.69542,3.037952
